rider_slug,rank,pcs_points
tyler-hamilton,29,911
juan-antonio-flecha,30,905
jerome-pineau,31,904
max-van-heeswijk,32,894
bradley-mcgee,33,850
leonardo-piepoli,34,849
jaan-kirsipuu,35,846
michael-rogers,36,832
stefano-garzelli,37,811
danilo-di-luca,38,806
franco-pellizotti,39,796
laurent-brochard,40,788
santiago-perez,41,766
dario-david-cioni,42,753
georg-totschnig,43,741
sylvain-chavanel,44,736
ivan-gutierrez,45,731
vladimir-karpets,46,728
floyd-landis,47,723
carlos-sastre,48,720
philippe-gilbert,49,711
viatcheslav-ekimov,50,707
marcos-antonio-serrano,51,678
nick-nuyens,52,657
jorg-jaksche,53,656
michele-scarponi,54,655
thomas-voeckler,55,653
levi-leipheimer,56,653
serhiy-honchar,57,649
oscar-pereiro,58,648
fabian-jeker,59,646
roger-hammond,60,629
christophe-moreau,61,627
stefan-van-dijk-1,62,626
fabian-cancellara,63,625
eladio-jimenez,64,625
magnus-backstedt,65,622
michael-rich,66,619
markus-zberg,67,611
igor-astarloa-ascasibar,68,609
jose-bento-carvalho-de-azevedo,69,600
eddy-mazzoleni,70,600
lance-armstrong,71,592
fabian-wegmann,72,591
george-hincapie,73,590
kurt-asle-arvesen,74,585
gerben-lowik,75,581
jimmy-casper,76,574
baden-cooke,77,573
matthias-kessler,78,563
pierrick-fedrigo,79,561
roberto-laiseka-jaio,80,554
matteo-tosatto,81,542
tadej-valjavec,82,536
steffen-wesemann,83,534
sandy-casar,84,532
olaf-pollack,85,520
frank-hoj-christensen,86,518
luca-mazzanti,87,509
david-moncoutie,88,507
dmitriy-fofonov,89,507
carlos-garcia-quesada,90,504
jean-patrick-nazon,91,502
fred-rodriguez,92,502
didier-rous,93,502
yaroslav-popovych,94,501
axel-merckx,95,495
joaquim-rodriguez,96,494
jose-enrique-gutierrez-cataluna,97,493
thomas-dekker,98,491
kim-kirchen,99,484
cadel-evans,100,483
alessandro-petacchi,1,2282
tom-boonen,2,2149
danilo-di-luca,3,1804
alexandre-vinokourov,4,1562
bobby-julich,5,1526
robbie-mcewen,6,1444
ivan-basso,7,1359
damiano-cunego,8,1312
thor-hushovd,9,1263
paolo-bettini,10,1259
erik-zabel,11,1243
alejandro-valverde,12,1200
davide-rebellin,13,1177
jens-voigt,14,1133
francisco-mancebo,15,1100
murilo-antonio-fischer,16,1072
kim-kirchen,17,1034
oscar-pereiro,18,1019
denis-menchov,19,1019
gilberto-simoni,20,998
stuart-o-grady,21,980
michael-rogers,22,979
daniele-bennati,23,968
paolo-savoldelli,24,955
oscar-freire,25,954
cadel-evans,26,920
frank-schleck,27,908
allan-davis,28,908
roberto-heras,29,904
samuel-sanchez,30,893
fabian-cancellara,31,887
ruben-plaza,32,856
carlos-sastre,33,849
joaquim-rodriguez,34,834
jose-humberto-rujano,35,816
alberto-contador,36,811
thomas-dekker,37,809
santiago-botero,38,808
david-moncoutie,39,787
mirko-celestino,40,782
franco-pellizotti,41,753
christophe-moreau,42,749
fabian-wegmann,43,741
stefan-van-dijk-1,44,733
jorg-jaksche,45,732
levi-leipheimer,46,726
luca-mazzanti,47,713
miguel-angel-martin-perdiguero,48,711
andreas-klier,49,689
laurent-brochard,50,687
filippo-pozzato,51,686
juan-antonio-flecha,52,682
philippe-gilbert,53,680
nick-nuyens,54,679
paride-grillo,55,678
